hypothesis_id,word,language,sense_from,sense_to,drift_type,drift_year,proposed_trigger,trigger_date,trigger_category,wikidata_qid,evidence_types,confidence,source_urls,source_titles,attributed_to,date
hyp-gfds-hyp-opfer-abo-2012,Opfer-Abo,de,not previously established,victim subscription; accuses women of repeatedly fabricating or exploiting victim status in sexual violence cases,Broadening,2012,German misogynist victim-blaming discourse sexual violence,2012,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Opfer-Abo,GfdS / Wikipedia - unwort des Jahres 2012: Opfer-Abo,curator-gfds,2026-05-23
hyp-gfds-hyp-peanuts-1994,Peanuts,de,peanuts; a trivially small amount of money (English slang),callous dismissal by Deutsche Bank CEO Hilmar Kopper of 50 million DM debt owed to small creditors as insignificant,Pejoration,1994,Hilmar Kopper Deutsche Bank peanuts statement 1994,1994,Economic,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Peanuts,GfdS / Wikipedia - unwort des Jahres 1994: Peanuts,curator-gfds,2026-05-23
hyp-gfds-hyp-politikverdrossenheit-1992,Politikverdrossenheit,de,not previously dominant,political disaffection; widespread citizen dissatisfaction with politics amid party financing scandals,Broadening,1992,German party financing scandals public distrust 1992,1992,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Politikverdrossenheit,GfdS / Wikipedia - wort des Jahres 1992: Politikverdrossenheit,curator-gfds,2026-05-23
hyp-gfds-hyp-postfaktisch-2016,postfaktisch,de,not previously dominant,post-factual; describing a political climate where emotions and beliefs displace facts in public discourse,Broadening,2016,Brexit Trump post-truth politics rise 2016,2016,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/postfaktisch,GfdS / Wikipedia - wort des Jahres 2016: postfaktisch,curator-gfds,2026-05-23
hyp-gfds-hyp-pushback-2021,Pushback,de,resistance or opposition to a proposal; a general English term,illegal forced return of migrants at EU borders without processing their asylum claims; human rights violation,Pejoration,2021,EU border pushback illegal migration human rights violations 2021,2021,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Pushback,GfdS / Wikipedia - unwort des Jahres 2021: Pushback,curator-gfds,2026-05-23
hyp-gfds-hyp-rasterfahndung-1980,Rasterfahndung,de,not previously established in general vocabulary,grid-search police method filtering population data to find terrorism suspects,Broadening,1980,West German anti-terrorism policing 1970s,1980,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Rasterfahndung,GfdS / Wikipedia - wort des Jahres 1980: Rasterfahndung,curator-gfds,2026-05-23
hyp-gfds-hyp-reformstau-1997,Reformstau,de,not previously dominant,reform gridlock; blockage of urgently needed political and economic reforms in Germany,Broadening,1997,late Kohl government reform paralysis 1997,1997,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Reformstau,GfdS / Wikipedia - wort des Jahres 1997: Reformstau,curator-gfds,2026-05-23
hyp-gfds-hyp-refugees-welcome-2015,Refugees Welcome,de,not previously established as a slogan,English-language welcome culture slogan used in German protests and media during the refugee crisis,Broadening,2015,European refugee crisis Germany welcome culture 2015,2015,Economic,,ScholarlyAttestation,0.8,https://de.wikipedia.org/wiki/Anglizismus_des_Jahres,GfdS / Wikipedia - anglizismus des Jahres 2015: Refugees Welcome,curator-gfds,2026-05-23
hyp-gfds-hyp-reisefreiheit-1989,Reisefreiheit,de,freedom of travel; abstract right,the concrete newly gained right for East Germans to travel freely after the fall of the Berlin Wall,Amelioration,1989,Fall of the Berlin Wall November 1989,1989,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Reisefreiheit,GfdS / Wikipedia - wort des Jahres 1989: Reisefreiheit,curator-gfds,2026-05-23
hyp-gfds-hyp-remigration-2023,Remigration,de,remigration; academic term for return migration of emigrants to their home country,"far-right coded term for forced mass deportation of immigrants and naturalized citizens, exposed via Correctiv leak",Reappropriation,2023,AfD Potsdam meeting Correctiv remigration leak 2023,2023,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Remigration,GfdS / Wikipedia - unwort des Jahres 2023: Remigration,curator-gfds,2026-05-23
hyp-gfds-hyp-rentnerschwemme-1996,Rentnerschwemme,de,a flood or excess of retirees; uses a nature metaphor,dehumanizing depiction of the elderly population as a threatening flood overwhelming the pension system,Metaphorization,1996,German pension system demographic ageing debate,1996,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Rentnerschwemme,GfdS / Wikipedia - unwort des Jahres 1996: Rentnerschwemme,curator-gfds,2026-05-23
hyp-gfds-hyp-respektrente-2019,Respektrente,de,not previously established,respect pension; SPD proposal for minimum pension to acknowledge long working lives,Broadening,2019,German minimum pension reform proposal 2019,2019,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Respektrente,GfdS / Wikipedia - wort des Jahres 2019: Respektrente,curator-gfds,2026-05-23
hyp-gfds-hyp-rettungsroutine-2012,Rettungsroutine,de,not previously established,rescue routine; regular emergency financial rescue packages by governments during the Euro debt crisis,Broadening,2012,European sovereign debt crisis bailout packages,2012,Economic,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Rettungsroutine,GfdS / Wikipedia - wort des Jahres 2012: Rettungsroutine,curator-gfds,2026-05-23
hyp-gfds-hyp-rot-grun-1998,Rot-Grün,de,red-green; color combination,the first SPD-Greens federal coalition government under Chancellor Schröder,Broadening,1998,first federal SPD Greens coalition 1998,1998,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Rot-Gr%C3%BCn,GfdS / Wikipedia - wort des Jahres 1998: Rot-Grün,curator-gfds,2026-05-23
hyp-gfds-hyp-ruckfuhrungspatenschaften-2020,Rückführungspatenschaften,de,not previously established,return sponsorships; cynical EU deportation policy framing forced returns as voluntary sponsorship arrangements,Broadening,2020,EU migrant deportation policy euphemism 2020,2020,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/R%C3%BCckf%C3%BChrungspatenschaften,GfdS / Wikipedia - unwort des Jahres 2020: Rückführungspatenschaften,curator-gfds,2026-05-23
hyp-gfds-hyp-schwarzgeldaffare-2000,Schwarzgeldaffäre,de,not previously established as dominant phrase,the CDU illegal black-money donations scandal implicating former Chancellor Helmut Kohl,Broadening,2000,CDU Kohl illegal party donations scandal,2000,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Schwarzgeldaff%C3%A4re,GfdS / Wikipedia - wort des Jahres 2000: Schwarzgeldaffäre,curator-gfds,2026-05-23
hyp-gfds-hyp-shitstorm-2011,Shitstorm,de,English slang for an extremely chaotic or disastrous situation,a wave of public outrage directed at a person or organization via social media; entered German official discourse,Narrowing,2011,social media outrage culture Twitter Facebook rise Germany,2011,Cultural,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Shitstorm,GfdS / Wikipedia - anglizismus des Jahres 2011: Shitstorm,curator-gfds,2026-05-23
hyp-gfds-hyp-smash-2022,smash,de,to smash; to break or destroy forcefully,to find someone sexually attractive or want to sleep with them; from the Smash or Pass internet game,Narrowing,2022,Smash or Pass internet game TikTok youth meme,2022,Cultural,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/smash,GfdS / Wikipedia - jugendwort des Jahres 2022: smash,curator-gfds,2026-05-23
hyp-gfds-hyp-smombie-2015,Smombie,de,not previously established,"smartphone zombie; portmanteau for people distracted by their phones, walking like zombies",Broadening,2015,smartphone addiction distracted pedestrian culture youth,2015,Cultural,,ScholarlyAttestation,0.8,https://de.wikipedia.org/wiki/Jugendwort_des_Jahres_(Deutschland)#2015,GfdS / Wikipedia - jugendwort des Jahres 2015: Smombie,curator-gfds,2026-05-23
hyp-gfds-hyp-sozialabbau-1993,Sozialabbau,de,dismantling of social services; established compound,widespread cuts to the German welfare state under austerity policy after reunification costs,Broadening,1993,German austerity welfare state cuts 1993,1993,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Sozialabbau,GfdS / Wikipedia - wort des Jahres 1993: Sozialabbau,curator-gfds,2026-05-23
hyp-gfds-hyp-sozialtourismus-2013,Sozialtourismus,de,social tourism; affordable tourism for lower-income groups,welfare tourism; stigmatizing Eastern European EU migrants as traveling to Germany only to claim benefits,Pejoration,2013,EU free movement benefit tourism debate Germany 2013,2013,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Sozialtourismus,GfdS / Wikipedia - unwort des Jahres 2013: Sozialtourismus,curator-gfds,2026-05-23
hyp-gfds-hyp-sozialvertragliches-fruhableben-1998,sozialverträgliches Frühableben,de,not previously established,socially compatible early death; cynical bureaucratic phrase suggesting elderly should die early for fiscal reasons,Broadening,1998,German pension costs elderly demographic cynicism 1998,1998,Political,,ScholarlyAttestation,0.8,https://de.wikipedia.org/wiki/Unwort_des_Jahres_(Deutschland),GfdS / Wikipedia - unwort des Jahres 1998: sozialverträgliches Frühableben,curator-gfds,2026-05-23
hyp-gfds-hyp-sparpaket-1996,Sparpaket,de,savings package; established compound,bundled government austerity measures cutting public spending under Kohl government,Broadening,1996,German federal austerity package 1996,1996,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Sparpaket,GfdS / Wikipedia - wort des Jahres 1996: Sparpaket,curator-gfds,2026-05-23
hyp-gfds-hyp-stresstest-2011,Stresstest,de,stress test; technical assessment of a system under extreme conditions,"widespread testing of nuclear plants (after Fukushima), banks, and political systems for resilience",Broadening,2011,Fukushima nuclear disaster bank stress tests 2011,2011,Ecological,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Stresstest,GfdS / Wikipedia - wort des Jahres 2011: Stresstest,curator-gfds,2026-05-23
hyp-gfds-hyp-superwahljahr-1994,Superwahljahr,de,not previously established,super election year; year 1994 with unusually many elections at all levels of government,Broadening,1994,multiple simultaneous German elections 1994,1994,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Superwahljahr,GfdS / Wikipedia - wort des Jahres 1994: Superwahljahr,curator-gfds,2026-05-23
hyp-gfds-hyp-swag-2011,Swag,de,swag: stolen goods; plunder; loot (English origin),enviable cool charisma and stylish self-presentation; borrowed from hip-hop culture into German youth language,Amelioration,2011,hip-hop culture swag concept German youth language adoption,2011,Cultural,,ScholarlyAttestation,0.8,https://de.wikipedia.org/wiki/Jugendwort_des_Jahres_(Deutschland),GfdS / Wikipedia - jugendwort des Jahres 2011: Swag,curator-gfds,2026-05-23
hyp-gfds-hyp-szene-1977,Szene,de,"a scene, setting, or segment of society",the underground network of left-wing terrorism sympathizers during the German Autumn,Narrowing,1977,RAF German Autumn terrorism 1977,1977,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Szene,GfdS / Wikipedia - wort des Jahres 1977: Szene,curator-gfds,2026-05-23
hyp-gfds-hyp-tatervolk-2003,Tätervolk,de,a people of perpetrators; used historically,antisemitic accusation of collective Jewish guilt; used by German MP Martin Hohmann in a parliamentary speech,Pejoration,2003,Hohmann antisemitic Tätervolk speech Bundestag 2003,2003,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/T%C3%A4tervolk,GfdS / Wikipedia - unwort des Jahres 2003: Tätervolk,curator-gfds,2026-05-23
hyp-gfds-hyp-teuro-2002,Teuro,de,not previously established,portmanteau of teuer (expensive) and Euro; perceived price increases after Euro currency introduction,Broadening,2002,Euro currency introduction price perception Germany,2002,Economic,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Teuro,GfdS / Wikipedia - wort des Jahres 2002: Teuro,curator-gfds,2026-05-23
hyp-gfds-hyp-tschernobyl-1986,Tschernobyl,de,name of a Ukrainian city,symbol for nuclear disaster and the failure of atomic energy policy,Metaphorization,1986,Chernobyl nuclear disaster April 1986,1986,Ecological,,ScholarlyAttestation,0.8,https://www.duden.de/rechtschreibung/Tschernobyl,GfdS / Wikipedia - wort des Jahres 1986: Tschernobyl,curator-gfds,2026-05-23
hyp-gfds-hyp-uberfremdung-1993,Überfremdung,de,historical nationalist term for alleged excessive foreign cultural influence,revived xenophobic argument against immigration in the early 1990s racist discourse,Broadening,1993,German far-right anti-immigration rhetoric 1993,1993,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/%C3%9Cberfremdung,GfdS / Wikipedia - unwort des Jahres 1993: Überfremdung,curator-gfds,2026-05-23
hyp-gfds-hyp-umweltauto-1984,Umweltauto,de,not previously established,environment car; car meeting emissions standards via catalytic converter technology,Broadening,1984,catalytic converter environmental debate Germany,1984,Ecological,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Umweltauto,GfdS / Wikipedia - wort des Jahres 1984: Umweltauto,curator-gfds,2026-05-23
hyp-gfds-hyp-volksverrater-2016,Volksverräter,de,traitor of the people; Nazi-era political accusation,revived Nazi vocabulary used by AfD and Pegida to attack democratically elected politicians,Broadening,2016,German far-right populist anti-politician rhetoric 2016,2016,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Volksverr%C3%A4ter,GfdS / Wikipedia - unwort des Jahres 2016: Volksverräter,curator-gfds,2026-05-23
hyp-gfds-hyp-wellenbrecher-2021,Wellenbrecher,de,a breakwater; physical structure that breaks ocean waves,pandemic wave breaker; lockdown measures designed to flatten the fourth COVID wave,Metaphorization,2021,fourth COVID wave lockdown measures Germany 2021,2021,Pandemic,Q81068910,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Wellenbrecher,GfdS / Wikipedia - wort des Jahres 2021: Wellenbrecher,curator-gfds,2026-05-23
hyp-gfds-hyp-wohlstandsmull-1997,Wohlstandsmüll,de,not previously established,prosperity trash; dehumanizing label for long-term unemployed persons as waste products of affluence,Broadening,1997,German long-term unemployment stigma debate 1997,1997,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Wohlstandsm%C3%BCll,GfdS / Wikipedia - unwort des Jahres 1997: Wohlstandsmüll,curator-gfds,2026-05-23
hyp-gfds-hyp-wutburger-2010,Wutbürger,de,not previously established,"angry citizen; politically engaged citizen reacting with anger to political decisions, coined during Stuttgart 21 protests",Broadening,2010,Stuttgart 21 railway protest movement Germany 2010,2010,Political,Q574459,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Wutb%C3%BCrger,GfdS / Wikipedia - wort des Jahres 2010: Wutbürger,curator-gfds,2026-05-23
hyp-gfds-hyp-yolo-2012,YOLO,de,not previously established,you only live once; internet acronym spread via Drake hip-hop encouraging seizing the day,Broadening,2012,Drake YOLO hip-hop internet meme spread 2012,2012,Cultural,,ScholarlyAttestation,0.8,https://de.wikipedia.org/wiki/Jugendwort_des_Jahres_(Deutschland),GfdS / Wikipedia - jugendwort des Jahres 2012: YOLO,curator-gfds,2026-05-23
hyp-gfds-hyp-zeitenwende-2022,Zeitenwende,de,a turning of the times; a historic turning point in general,Scholz's term for Russia's invasion of Ukraine as a historic rupture redefining German security and defense policy,Narrowing,2022,Russia invasion of Ukraine German policy shift 2022,2022,Political,,ScholarlyAttestation,0.8,https://www.dwds.de/wb/Zeitenwende,GfdS / Wikipedia - wort des Jahres 2022: Zeitenwende,curator-gfds,2026-05-23
hyp-ghosting-datingapps,ghosting,en,the appearance or activity of a ghost; a spectral haunting,ending a personal relationship by suddenly and without explanation ceasing all communication,Metaphorization,2015,"Mainstreaming of mobile dating apps (Tinder, 2012-)",2015,Technology,,FrequencyCorrelation; Speculative,0.6,https://www.merriam-webster.com/dictionary/ghosting | https://books.google.com/ngrams/graph?content=ghosting,Merriam-Webster - ghosting | Google Books Ngram Viewer (ghosting),curator,2026-05-23
hyp-granola-brand,granola,en,a trademarked brand of baked whole-grain breakfast cereal,"any breakfast food of baked rolled oats with nuts, honey, and dried fruit",Broadening,,Granola registered as a cereal brand,1886,Commercial,,LexicographicNote,0.75,https://en.wiktionary.org/wiki/granola,granola -- Wiktionary,curator,2026-05-23
hyp-green-ecology,green,en,the colour between blue and yellow in the spectrum; the colour of growing foliage,environmentally friendly; concerned with or supporting ecological protection and green politics,Metaphorization,,the modern environmental movement and the rise of Green politics,1972,Political,,LexicographicNote,0.8,https://www.etymonline.com/word/green | https://www.oed.com/dictionary/green_adj,"Etymonline - green (adj.) | Oxford English Dictionary - green, adj.",curator,2026-05-23
hyp-gruen-ecology,gruen,de,the colour of growing foliage; green,environmentally friendly; relating to ecological politics and the Green party,Metaphorization,,the modern environmental movement and the rise of Green politics,1972,Political,,LexicographicNote,0.82,https://www.dwds.de/wb/gr%C3%BCn | https://www.duden.de/rechtschreibung/gruen,DWDS - gruen | Duden - gruen,curator,2026-05-23
hyp-guillotine-revolution,guillotine,en,"the surname of Joseph-Ignace Guillotin, French physician and deputy",a machine for beheading by a heavy weighted blade sliding in vertical grooves; by extension any device with a descending blade,Metonymization,,Proposal and adoption of the beheading machine in the French Revolution,1792,Political,Q220650,LexicographicNote,0.9,https://www.etymonline.com/word/guillotine,etymonline -- guillotine,curator,2026-05-23
hyp-gutmensch-politics,Gutmensch,de,a genuinely good person; someone with good intentions and moral character,"a self-righteous, naive moraliser who imposes political correctness on others; a do-gooder (derogatory)",Pejoration,,Gutmensch chosen as Unwort des Jahres 2015,2015,Political,,LexicographicNote,0.75,https://www.duden.de/rechtschreibung/Gutmensch,Duden Online -- Gutmensch,curator,2026-05-23
hyp-guy-gunpowder,guy,en,an effigy of Guy Fawkes burned on 5 November; by extension a grotesquely or oddly dressed person,a man; a fellow; (in plural) people of any gender,Broadening,,The Gunpowder Plot of Guy Fawkes,1605,Political,Q13898,LexicographicNote,0.85,https://www.etymonline.com/word/guy,etymonline -- guy,curator,2026-05-23
hyp-halcyon-alcyone,halcyon,en,"a bird, the kingfisher, fabled to nest at sea about the winter solstice and to calm the waves while breeding","calm, peaceful, tranquil; (of a past time) idyllically happy and prosperous",Metaphorization,,Alcyone and the calm of the halcyon days,1540,Cultural,Q912904,LexicographicNote,0.85,https://www.etymonline.com/word/halcyon,Online Etymology Dictionary -- halcyon,curator,2026-05-23
hyp-hamburger-hamburg,hamburger,en,Hamburg steak; a chopped or minced beef preparation named after the German city of Hamburg,a cooked beef patty served in a bun; the familiar fast-food sandwich,Metonymization,,Hamburg steak named for the city of Hamburg,1880,Commercial,Q1055,LexicographicNote,0.7,https://www.etymonline.com/word/hamburger,Online Etymology Dictionary -- hamburger,curator,2026-05-23
hyp-harpy-harpies,harpy,en,"one of the fabulous monsters of Greek myth, with a woman's face and a bird's body and claws, that snatched away food and souls","a rapacious, grasping person; a predatory or shrewish woman",Metaphorization,,The Harpies of Greek myth,1400,Cultural,Q181360,LexicographicNote,0.8,https://www.etymonline.com/word/harpy,Online Etymology Dictionary -- harpy,curator,2026-05-23
hyp-heimat-romantik,Heimat,de,place of residence or domicile; the locality where one has settlement rights; a neutral legal-territorial term,"the place of one's roots and emotional belonging; an idealised concept of origin, landscape, and identity",Broadening,,German Romanticism and 19th c. nationalism,1800,Cultural,,LexicographicNote,0.75,https://www.dwds.de/wb/Heimat,DWDS -- Heimat,curator,2026-05-23
hyp-herculean-labours,herculean,en,"of or pertaining to Hercules, the Greek and Roman hero famed for prodigious strength and the Twelve Labours","requiring or showing immense strength, size, or effort; extremely difficult to accomplish",Metaphorization,,Myth of Hercules and the Twelve Labours,1590,Cultural,,LexicographicNote,0.85,https://www.etymonline.com/word/herculean,Online Etymology Dictionary -- Herculean,curator,2026-05-23
hyp-hermetic-hermes,hermetic,en,"dealing with the occult sciences, especially alchemy; of or relating to Hermes Trismegistus",completely sealed against the escape or entry of air; airtight,Metonymization,,Hermes Trismegistus and the hermetic seal,1600,Cultural,Q192358,LexicographicNote,0.8,https://www.etymonline.com/word/hermetic,Online Etymology Dictionary -- hermetic,curator,2026-05-23
hyp-hertz-waves,hertz,en,the surname of the German physicist Heinrich Rudolf Hertz,"the SI unit of frequency, one cycle per second; an everyday word for the frequency of signals, sound, or processors",Metonymization,,Hertz demonstrates electromagnetic waves,1888,Technology,Q41257,LexicographicNote,0.9,https://www.etymonline.com/word/hertz,hertz -- Online Etymology Dictionary,curator,2026-05-23
hyp-hooligan-press,hooligan,en,"a name, probably from the comic-Irish surname Houlihan, attached to rowdy London street youths in 1898 newspaper reports","a violent, lawless young person; a member of a rowdy gang or troublemaker",Pejoration,,London press police-court reports of summer 1898,1898,Media,,LexicographicNote,0.7,https://www.etymonline.com/word/hooligan,Online Etymology Dictionary -- hooligan,curator,2026-05-23
hyp-impfgegner-covid,Impfgegner,de,"a person who rejects vaccination, especially on principle (descriptive)","a strongly politicised, frequently derogatory label for opponents of COVID-19 vaccination, associated with conspiracy and protest milieus",Pejoration,2020,COVID-19 vaccination debate (2020-2021),2020,Pandemic,Q81068910,FrequencyCorrelation; LexicographicNote,0.8,https://www.dwds.de/wb/Impfgegner | https://www.dwds.de/wb/Impfgegner,DWDS - Impfgegner | DWDS Wortverlaufskurve - Impfgegner,curator,2026-05-23
hyp-influencer-instagram,influencer,en,a person or thing that influences another; one who exerts influence,a person who has gained a large following on social media and is paid to promote products or lifestyles to that audience,Metonymization; Narrowing,2015,Rise of Instagram and influencer marketing (mid-2010s),2015,Commercial,Q209330,FrequencyCorrelation; LexicographicNote,0.8,https://www.merriam-webster.com/dictionary/influencer | https://books.google.com/ngrams/graph?content=influencer,Merriam-Webster - influencer | Google Books Ngram Viewer (influencer),curator,2026-05-23
hyp-jeans-genoa,jeans,en,"a heavy twilled cotton or fustian cloth named for Genoa, the port from which it was traded",casual trousers made of denim or similar hard-wearing cloth,Metonymization,,Genoese cloth trade,1567,Commercial,Q1449,LexicographicNote,0.85,https://www.etymonline.com/word/jean,Online Etymology Dictionary -- jean / jeans,curator,2026-05-23
hyp-jingoism-song,jingoism,en,"the bellicose pro-war sentiment of the 'jingoes', from the refrain 'by jingo' in G. W. Hunt's 1878 music-hall song","aggressive, boastful patriotism, especially favouring a belligerent foreign policy",Pejoration,,G. W. Hunt's 1878 music-hall song during the Russo-Turkish crisis,1878,Media,,LexicographicNote,0.85,https://www.etymonline.com/word/jingoism,Online Etymology Dictionary -- jingoism,curator,2026-05-23
hyp-joule-heat,joule,en,the surname of the British physicist James Prescott Joule,"the SI unit of energy, work and heat",Metonymization,,Joule's work on the mechanical equivalent of heat,1843,Technology,Q8962,LexicographicNote,0.9,https://www.etymonline.com/word/joule,joule -- Online Etymology Dictionary,curator,2026-05-23
hyp-jovial-jove,jovial,en,pertaining to or born under the influence of the planet Jupiter (Jove),"good-humoured, cheerful, merry; full of hearty, sociable good spirits",Metaphorization,,Astrological disposition of those born under Jupiter,1580,Cultural,,LexicographicNote,0.85,https://www.etymonline.com/word/jovial,Online Etymology Dictionary -- jovial,curator,2026-05-23
hyp-kafkaesque-prozess,Kafkaesque,en,of or pertaining to the writer Franz Kafka or to his literary style,"marked by a nightmarish, oppressive, and senseless complexity, especially of impenetrable bureaucracy or illogical official process; absurd in a menacing, disorienting way",Metaphorization,,"Posthumous publication of Kafka's novels ('Der Prozess', 1925)",1925,Cultural,Q905,LexicographicNote,0.8,https://www.etymonline.com/word/Kafkaesque,Online Etymology Dictionary -- Kafkaesque,curator,2026-05-23
hyp-kaiser-augustus,Kaiser,de,"the Roman cognomen Caesar, the family name of Gaius Julius Caesar","emperor; the supreme monarchic ruler, originally of the Roman empire and later of the Holy Roman and German empires",Metonymization,,Establishment of the Roman imperial title under Augustus,0027,Political,Q1405,LexicographicNote,0.85,https://www.dwds.de/wb/Kaiser,DWDS -- Kaiser,curator,2026-05-23
hyp-kamikaze-leyte,kamikaze,en,a Japanese suicide pilot or aircraft of the Second World War; the suicide-attack corps,recklessly self-destructive; undertaken with no regard for one's own safety,Metaphorization,,Japanese kamikaze suicide attacks in the Pacific War,1944,Political,Q308999,LexicographicNote,0.8,https://www.etymonline.com/word/kamikaze,Online Etymology Dictionary -- kamikaze,curator,2026-05-23
hyp-kavalier-hofkultur,Kavalier,de,a mounted nobleman or knight; a horseman of rank,"a man of polished, courteous, chivalrous manners, especially toward women; a gentleman",Broadening,,"Baroque court culture and the Kavalierstour, 17th century",1650,Cultural,,LexicographicNote,0.65,https://www.dwds.de/wb/Kavalier,DWDS -- Kavalier,curator,2026-05-23
hyp-kelvin-absolute-scale,kelvin,en,"the title of the British physicist William Thomson, 1st Baron Kelvin",the SI base unit of thermodynamic temperature,Metonymization,,Thomson devises the absolute temperature scale,1848,Technology,Q122701,LexicographicNote,0.9,https://en.wikipedia.org/wiki/Kelvin,Kelvin -- Wikipedia,curator,2026-05-23
hyp-ketzer-albigensian,Ketzer,de,a member of the Cathar (Albigensian) sect; the specific dualist movement of southern France and northern Italy,a heretic; any person whose religious teaching is condemned as deviant by the Church,Broadening,,Albigensian Crusade against the Cathars,1209,Cultural,Q51657,LexicographicNote,0.8,https://www.dwds.de/wb/Ketzer,DWDS -- Ketzer,curator,2026-05-23
hyp-klasse-marx,Klasse,de,"a category, division, or rank into which things or persons are grouped; also a school class",a social class defined by its relation to the means of production; a key category of socialist and Marxist social analysis,Narrowing,,1848 socialist movement and Marx's Das Kapital (1867),1848,Political,Q9061,LexicographicNote,0.7,https://www.dwds.de/wb/Klasse,DWDS -- Klasse,curator,2026-05-23
hyp-kleenex-kc,kleenex,en,Kimberly-Clark's brand of disposable facial tissue,any disposable paper tissue or handkerchief,Broadening,,Kimberly-Clark launches Kleenex,1924,Commercial,Q1741634,LexicographicNote,0.85,https://en.wiktionary.org/wiki/Kleenex,Kleenex -- Wiktionary,curator,2026-05-23
hyp-klimakleber-lg,Klimakleber,de,a climate activist (Letzte Generation) who glues themselves to roads to block traffic; mocking derogatory label used by opponents,a road-gluing climate activist (Letzte Generation); increasingly neutral self-designation and dictionary entry,Reappropriation,,Letzte Generation street-blockade campaign from January 2022,2022,Political,Q110819215,FrequencyCorrelation; LexicographicNote,0.8,https://de.wiktionary.org/wiki/Klimakleber,Wiktionary -- Klimakleber,curator,2026-05-23
hyp-krass-jugendsprache,krass,de,"blatant, gross, glaring; extreme in a bad or shocking way","(youth slang) impressive, amazing, intense; used approvingly as a general intensifier",Amelioration,,Jugendsprachliche Aufwertung eines Negativworts,1985,Cultural,,Speculative,0.55,https://www.dwds.de/wb/krass,DWDS -- krass,curator,2026-05-23
hyp-labello-de-brand,Labello,de,Beiersdorf's brand of lip-care stick,"any lip-care stick, regardless of maker (colloquial German)",Broadening,,Beiersdorf introduces Labello,1909,Commercial,Q201691,LexicographicNote,0.75,https://www.derstandard.de/story/3000000306725/wie-labello-zum-synonym-fuer-lippenpflegestifte-wurde,Wie Labello zum Synonym fuer Lippenpflegestifte wurde -- derStandard,curator,2026-05-23
hyp-labyrinth-crete,labyrinth,en,"a structure of intricate winding passages and turnings, like the Cretan maze built by Daedalus to house the Minotaur","a bewildering, tortuous, or inextricably involved situation, argument, or arrangement",Metaphorization,,The Cretan Labyrinth of Daedalus and the Minotaur,1540,Cultural,Q48963,LexicographicNote,0.85,https://www.etymonline.com/word/labyrinth,Online Etymology Dictionary -- labyrinth,curator,2026-05-23
hyp-laconic-sparta,laconic,en,"of or relating to Laconia or Lakedaimon, the region of Sparta in the Peloponnese",using few words; terse and concise in speech or writing,Metonymization,,Reputation of Laconian (Spartan) terseness,1580,Cultural,,LexicographicNote,0.85,https://www.etymonline.com/word/laconic,Online Etymology Dictionary -- laconic,curator,2026-05-23
hyp-lazarett-venice,Lazarett,de,the Venetian quarantine island and its plague hospital on Santa Maria di Nazaret (the lazzaretto),"a hospital for the isolation of the sick, especially a plague or military field hospital",Metonymization,,Founding of the Venetian Lazzaretto Vecchio,1423,Pandemic,,LexicographicNote,0.8,https://www.dwds.de/wb/Lazarett,DWDS -- Lazarett,curator,2026-05-23
hyp-leotard-trapeze,leotard,en,the surname of the French trapeze artist Jules Leotard,"a close-fitting one-piece stretch garment covering the torso, worn by dancers, gymnasts and acrobats",Metonymization,,Jules Leotard performs the flying trapeze in a close-fitting garment,1859,Cultural,Q356388,LexicographicNote,0.9,https://www.etymonline.com/word/leotard,leotard -- Online Etymology Dictionary,curator,2026-05-23
