trigger_id,label,event_date,category,wikidata_qid
trigger-owid-customer-service-industry,customer service industry,1995,Economic,
trigger-owid-cybercrime,cybercrime,2014,Technology,
trigger-owid-dating-culture,dating culture,1995,Social,
trigger-owid-ddr-stasi-archives,DDR Stasi archives,2004,Legal,
trigger-owid-dementia-care-facilities,dementia care facilities,2004,Health,
trigger-owid-dental-technology,dental technology,2004,Health,
trigger-owid-diesel-emissions-regulation,Diesel emissions regulation,2014,Technology,
trigger-owid-diesel-emissions-scandal,Diesel emissions scandal,2014,Legal,
trigger-owid-digital-advertising,digital advertising,2004,Technology,
trigger-owid-digital-age,digital age,2004,Technology,
trigger-owid-digital-banking-revolution,digital banking revolution,1995,Technology,
trigger-owid-digital-computing,digital computing,1995,Technology,
trigger-owid-digital-crime-proliferation,digital crime proliferation,2004,Legal,
trigger-owid-digital-culture,digital culture,1995,Technology,
trigger-owid-digital-detox-movement,digital detox movement,2014,Health,
trigger-owid-digital-economy,digital economy,1995,Technology,
trigger-owid-digital-economy-monetization,digital economy monetization,2014,Economic,
trigger-owid-digital-identity,Digital Identity,2004,Technology,
trigger-owid-digital-labor,digital labor,2014,Technology,
trigger-owid-digital-media-evolution,digital media evolution,1995,Technology,
trigger-owid-digital-media-transition,digital media transition,2014,Media,
trigger-owid-digital-overuse-awareness,digital overuse awareness,2014,Technology,
trigger-owid-digital-photography-era,digital photography era,1995,Technology,
trigger-owid-digital-school-culture,digital school culture,2004,Social,
trigger-owid-digital-surveillance-culture,digital surveillance culture,2004,Technology,
trigger-owid-digital-surveillance-technology,digital surveillance technology,2004,Technology,
trigger-owid-digital-technology,digital technology,1995,Technology,
trigger-owid-digital-technology-proliferation,digital technology proliferation,2004,Technology,
trigger-owid-digital-transformation-in-business,digital transformation in business,2014,Economic,
trigger-owid-digital-tv-development,digital TV development,1995,Technology,
trigger-owid-digital-wellness-movement,digital wellness movement,2014,Health,
trigger-owid-disability-rights-legislation,disability rights legislation,2014,Legal,
trigger-owid-e-cigarette-proliferation,e-cigarette proliferation,2014,Technology,
trigger-owid-e-commerce-laws,e-commerce laws,2014,Legal,
trigger-owid-early-computer-input-devices,early computer input devices,1995,Technology,
trigger-owid-early-internet-adoption,early internet adoption,1995,Technology,
trigger-owid-early-internet-and-gaming,early internet and gaming,1995,Technology,
trigger-owid-early-internet-cafes,early internet cafes,1995,Technology,
trigger-owid-economic-globalization,economic globalization,2004,Economic,
trigger-owid-education,education,1995,Cultural,
trigger-owid-education-policy,education policy,2004,Social,
trigger-owid-educational-initiatives,educational initiatives,2004,Social,
trigger-owid-educational-policy-reform,educational policy reform,2004,Social,
trigger-owid-elderly-care-services,elderly care services,2004,Health,
trigger-owid-electronic-quiz-shows,electronic quiz shows,2004,Technology,
trigger-owid-email-technology-adoption,email technology adoption,1995,Technology,
trigger-owid-energy-infrastructure-policy,energy infrastructure policy,2014,Economic,
trigger-owid-energy-transition,Energy Transition,2004,Environmental,
trigger-owid-english-loanword-adaptation,English loanword adaptation,1995,Linguistic,
trigger-owid-english-loanword-procrastination,English loanword 'procrastination',2004,Linguistic,
trigger-owid-environmental-and-social-concerns,environmental and social concerns,1995,Social,
trigger-owid-environmental-movement,environmental movement,2005,Environmental,
trigger-owid-environmental-tourism,environmental tourism,2004,Cultural,
trigger-owid-eu-migration-policy,EU migration policy,2014,Political,
trigger-owid-eu-migration-policy-proposals,EU migration policy proposals,2014,Political,
trigger-owid-european-currency-systems,European currency systems,1995,Economic,
trigger-owid-european-migration-crisis,European migration crisis,2014,Political,
trigger-owid-eurozone-banking-crisis,Eurozone banking crisis,2014,Economic,
trigger-owid-extreme-sports,extreme sports,1995,Sport,
trigger-owid-extreme-sports-culture,extreme sports culture,1995,Cultural,
trigger-owid-fashion,fashion,1995,Cultural,
trigger-owid-fashion-trends,fashion trends,1995,Cultural,
trigger-owid-festivals-and-social-events,festivals and social events,2004,Cultural,
trigger-owid-financial-crisis-management,financial crisis management,2014,Economic,
trigger-owid-financial-inclusion-policies,financial inclusion policies,2014,Economic,
trigger-owid-fireworks-technology,fireworks technology,2004,Technology,
trigger-owid-fitness-footwear-trend,fitness footwear trend,2004,Economic,
trigger-owid-fitness-trends,fitness trends,1995,Health,
trigger-owid-fitness-trends-1990s,fitness trends 1990s,1995,Health,
trigger-owid-flexible-work-practices,flexible work practices,1995,Economic,
trigger-owid-flexible-work-trends,flexible work trends,2014,Economic,
trigger-owid-food-industry-innovation,food industry innovation,2004,Economic,
trigger-owid-food-industry-specialization,food industry specialization,2014,Cultural,
trigger-owid-food-trend,Food Trend,2014,Cultural,
trigger-owid-food-trends,food trends,2004,Cultural,
trigger-owid-football-match-flares,football match flares,2004,Sport,
trigger-owid-football-world-championships,Football World Championships,2004,Sport,
trigger-owid-foreign-vehicle-toll,foreign vehicle toll,2014,Economic,
trigger-owid-formula-1-culture,Formula 1 culture,1995,Sport,
trigger-owid-furniture-innovation,furniture innovation,2014,Economic,
trigger-owid-gdpr-general-data-protection-regulation,GDPR (General Data Protection Regulation),2014,Legal,
trigger-owid-gender-equality-movement,gender equality movement,1995,Social,
trigger-owid-gender-specific-workplace-terminology,gender-specific workplace terminology,1995,Social,
trigger-owid-genetic-engineering,genetic engineering,1995,Scientific,
trigger-owid-genetically-modified-crops,genetically modified crops,1995,Scientific,
trigger-owid-geocaching,geocaching,2004,Technology,
trigger-owid-german-adaptation-of-english-fashion-terms,German adaptation of English fashion terms,1995,Cultural,
trigger-owid-german-energy-transition,German Energy Transition,2014,Environmental,
trigger-owid-german-federal-politics,German federal politics,2005,Political,
trigger-owid-german-tuition-fee-policy,German tuition fee policy,2004,Economic,
trigger-owid-gig-economy,gig economy,2014,Economic,
trigger-owid-global-coffee-culture,global coffee culture,2004,Cultural,
trigger-owid-global-consumer-culture,global consumer culture,2014,Economic,
trigger-owid-global-financial-standardization,global financial standardization,2004,Economic,
trigger-owid-green-funerary-practices,green funerary practices,2004,Environmental,
trigger-owid-gui-design,GUI design,1995,Technology,
trigger-owid-hartz-iv-labor-market-reform,Hartz IV labor market reform,2004,Legal,
trigger-owid-hartz-iv-policy,Hartz IV policy,2004,Social,
trigger-owid-hartz-iv-reform,Hartz IV reform,2004,Economic,
trigger-owid-health-and-diet-trends,health and diet trends,2014,Health,
trigger-owid-health-and-wellness,health and wellness,1995,Health,
trigger-owid-health-and-wellness-trends,health and wellness trends,2014,Health,
trigger-owid-health-food-trend,health food trend,2014,Health,
trigger-owid-health-food-trends,health food trends,2014,Health,
trigger-owid-health-insurance-reforms,health insurance reforms,1995,Health,
trigger-owid-health-science,health science,1995,Health,
trigger-owid-healthcare-cost-regulation,healthcare cost regulation,2004,Health,
trigger-owid-healthcare-economics,healthcare economics,2004,Health,
trigger-owid-healthcare-system-reform,healthcare system reform,2004,Health,
trigger-owid-high-definition-media-technology,high-definition media technology,2004,Technology,
trigger-owid-higher-education-expansion,higher education expansion,2004,Social,
trigger-owid-higher-education-reform,higher education reform,2014,Social,
trigger-owid-hip-hop-culture,hip-hop culture,2014,Cultural,
trigger-owid-idiomatic-expression,idiomatic expression,1995,Linguistic,
trigger-owid-imported-food-trends,imported food trends,1995,Cultural,
trigger-owid-industrial-automation,industrial automation,2014,Technology,
trigger-owid-inline-skating-boom,inline skating boom,1995,Sport,
trigger-owid-innovative-beverage-packaging,innovative beverage packaging,2004,Technology,
trigger-owid-interactive-media,interactive media,1995,Media,
trigger-owid-internet-adoption,internet adoption,1995,Technology,
trigger-owid-internet-advertising-rise,internet advertising rise,1995,Technology,
trigger-owid-internet-based-travel-community,internet-based travel community,2014,Technology,
trigger-owid-internet-business-models,internet business models,2004,Technology,
trigger-owid-internet-chat-rooms,internet chat rooms,1995,Technology,
trigger-owid-internet-communication,internet communication,1995,Technology,
trigger-owid-internet-culture,internet culture,1995,Technology,
trigger-owid-internet-development,internet development,1995,Technology,
trigger-owid-internet-email-adoption,internet/email adoption,1995,Technology,
trigger-owid-internet-infrastructure-development,internet infrastructure development,2014,Technology,
trigger-owid-internet-pornography,internet pornography,1995,Technology,
trigger-owid-internet-service-providers,internet service providers,2004,Technology,
trigger-owid-internet-subscription-scams,internet subscription scams,2004,Technology,
trigger-owid-internet-technology,internet technology,1995,Technology,
trigger-owid-iran-nuclear-program,Iran nuclear program,2014,Political,
trigger-owid-islamic-clothing-debates,Islamic Clothing Debates,2004,Cultural,
trigger-owid-labor-market-changes,labor market changes,1995,Economic,
trigger-owid-labor-market-reforms,Labor Market Reforms,2014,Economic,
trigger-owid-landmines-in-conflict-zones,landmines in conflict zones,1995,Political,
trigger-owid-late-20th-century-fashion-trends,late 20th century fashion trends,1995,Cultural,
trigger-owid-law-enforcement-tech,law enforcement tech,2014,Legal,
trigger-owid-leisure-activity-terminology,leisure activity terminology,2004,Cultural,
trigger-owid-lgbtq-representation,LGBTQ+ representation,2014,Cultural,
trigger-owid-lifestyle-trends,lifestyle trends,2004,Cultural,
trigger-owid-management-literature,management literature,1995,Social,
trigger-owid-media-culture,media culture,2004,Media,
trigger-owid-media-driven-body-positivity-discourse,media-driven body positivity discourse,2004,Social,
trigger-owid-media-globalization,media globalization,1995,Media,
trigger-owid-media-production,media production,1995,Media,
trigger-owid-medical-cannabis-legalization,medical cannabis legalization,2014,Health,
trigger-owid-mental-health-awareness,mental health awareness,2004,Health,
trigger-owid-mental-health-discourse,mental health discourse,1995,Health,
trigger-owid-mental-health-terminology,mental health terminology,2004,Health,
trigger-owid-migration-policy,Migration policy,2014,Political,
trigger-owid-migration-policy-reforms,migration policy reforms,2014,Legal,
trigger-owid-military-ai-development,military AI development,2014,Technology,
trigger-owid-mobile-internet-and-international-data-usage,mobile internet and international data usage,2004,Technology,
trigger-owid-modern-funeral-practices,modern funeral practices,2004,Cultural,
trigger-owid-modern-home-lighting-trends,modern home lighting trends,1995,Technology,
trigger-owid-motorcycle-safety-regulations,motorcycle safety regulations,2004,Legal,
trigger-owid-museum-technology,museum technology,1995,Cultural,
trigger-owid-nightlife-culture,nightlife culture,1995,Cultural,
trigger-owid-nutritional-labeling,nutritional labeling,2004,Health,
trigger-owid-online-auction-culture,online auction culture,2014,Technology,
trigger-owid-online-dating,online dating,2004,Social,
trigger-owid-online-dating-platforms,online dating platforms,2004,Technology,
trigger-owid-online-fraud,online fraud,2014,Legal,
trigger-owid-online-marketing-tactics,online marketing tactics,2014,Media,
trigger-owid-online-messaging-apps,online messaging apps,1995,Technology,
trigger-owid-online-retail-promotions,online retail promotions,2014,Economic,
trigger-owid-online-shopping,online shopping,2014,Technology,
trigger-owid-parental-leave-policy-reforms,parental leave policy reforms,2014,Social,
trigger-owid-pay-tv-industry-development,pay-TV industry development,1995,Technology,
trigger-owid-pay-tv-technology-adoption,pay-TV technology adoption,1995,Technology,
trigger-owid-personal-computer-era,personal computer era,1995,Technology,
trigger-owid-personal-computing,personal computing,1995,Technology,
trigger-owid-pickpocketing-in-public-spaces,pickpocketing in public spaces,2014,Social,
trigger-owid-political-style-of-gerhard-schroder,political style of Gerhard Schröder,2004,Political,
trigger-owid-pop-culture,pop culture,2004,Cultural,
trigger-owid-pop-culture-trends,Pop culture trends,2004,Cultural,
trigger-owid-pop-music-industry,pop music industry,1995,Cultural,
trigger-owid-popular-culture,popular culture,1995,Cultural,
trigger-owid-popular-culture-of-the-1990s,popular culture of the 1990s,1995,Cultural,
trigger-owid-population-policy,population policy,2014,Political,
trigger-owid-post-reunification-germany,post-reunification Germany,1995,Social,
trigger-owid-post-truth-era-2016-2017,post-truth era (2016-2017),2014,Media,
trigger-owid-post-wwii-restitution-debates,post-WWII restitution debates,1995,Political,
trigger-owid-poultry-terminology,Poultry Terminology,2014,Cultural,
trigger-owid-prepaid-telecommunications,prepaid telecommunications,1995,Technology,
trigger-owid-private-pension-reforms,private pension reforms,2004,Economic,
trigger-owid-public-broadcasting,public broadcasting,1995,Media,
trigger-owid-public-finance-practices,public finance practices,1995,Economic,
trigger-owid-public-telephone-design-innovations,public telephone design innovations,2004,Technology,
trigger-owid-real-estate-boom,real estate boom,1995,Economic,
trigger-owid-real-estate-innovation,real estate innovation,2004,Economic,
trigger-owid-reality-tv-format-evolution,reality TV format evolution,1995,Media,
trigger-owid-refugee-crisis-in-germany,refugee crisis in Germany,2014,Social,
trigger-owid-religious-institution-transformation,religious institution transformation,2004,Cultural,
trigger-owid-remote-work-rise,remote work rise,2004,Economic,
trigger-owid-renewable-energy-movement,Renewable Energy Movement,1995,Environmental,
trigger-owid-retail-automation,retail automation,1995,Technology,
trigger-owid-retail-commerce,retail commerce,2004,Economic,
trigger-owid-rise-of-discount-retail,rise of discount retail,1995,Economic,
trigger-owid-sars-cov-2-pandemic,SARS-CoV-2 pandemic,2014,Health,
trigger-owid-secure-email-service,secure email service,2004,Technology,
trigger-owid-service-animal-awareness,service animal awareness,2004,Cultural,
trigger-owid-sharing-economy,sharing economy,1995,Economic,
trigger-owid-ski-technology,ski technology,1995,Sport,
trigger-owid-slang-usage,slang usage,1995,Linguistic,
trigger-owid-smart-wearable-technology,Smart wearable technology,2014,Technology,
trigger-owid-smartphone-technology,smartphone technology,2004,Technology,
trigger-owid-social-inclusion-programs,social inclusion programs,2004,Social,
trigger-owid-social-media,social media,2004,Media,
trigger-owid-social-media-advertising,social media advertising,2014,Media,
trigger-owid-social-media-discourse,social media discourse,2014,Social,
trigger-owid-social-media-rise,social media rise,2004,Social,
trigger-owid-social-welfare-policies,social welfare policies,2004,Political,
trigger-owid-social-welfare-reforms,Social Welfare Reforms,1995,Social,
trigger-owid-spa-gesellschaft-movement,Spaßgesellschaft movement,1995,Cultural,
trigger-owid-spanish-cuisine-import,Spanish cuisine import,2004,Cultural,
trigger-owid-specialty-coffee-culture,specialty coffee culture,2004,Cultural,
trigger-owid-sport-climbing,sport climbing,1995,Sport,
trigger-owid-sport-event-celebrations,sport event celebrations,1995,Sport,
trigger-owid-sports-culture,sports culture,1995,Sport,
trigger-owid-sports-development,sports development,1995,Sport,
trigger-owid-sports-regulations,sports regulations,1995,Sport,
trigger-owid-sports-stadium-culture,sports stadium culture,1995,Sport,
trigger-owid-stand-up-comedy-boom,stand-up comedy boom,1995,Cultural,
trigger-owid-stock-market-expansion,stock market expansion,1995,Economic,
trigger-owid-stock-market-trends,stock market trends,1995,Economic,
trigger-owid-streaming-services,streaming services,2014,Technology,
trigger-owid-tabloid-journalism,tabloid journalism,1995,Media,
trigger-owid-targeted-marketing-for-middle-aged-consumers,targeted marketing for middle-aged consumers,2004,Economic,
trigger-owid-techno-music-scene,Techno music scene,1995,Cultural,
trigger-owid-techno-subculture,techno subculture,1995,Cultural,
trigger-owid-technoparty-scene,Technoparty scene,1995,Cultural,
trigger-owid-telecom-technology,telecom technology,1995,Technology,
trigger-owid-telecommunications-industry,telecommunications industry,1995,Technology,
trigger-owid-television-formats,television formats,2004,Media,
trigger-owid-television-game-shows,television game shows,2004,Cultural,
trigger-owid-television-programming,television programming,1995,Media,
trigger-owid-the-bucket-list-film,The Bucket List (film),2014,Cultural,
trigger-owid-tourism-industry,tourism industry,1995,Economic,
trigger-owid-tourism-policy,tourism policy,2014,Economic,
trigger-owid-traffic-safety-initiatives,traffic safety initiatives,2014,Legal,
trigger-owid-tuition-fees-in-public-higher-education,tuition fees in public higher education,2004,Social,
trigger-owid-urban-crime-trends,urban crime trends,1995,Legal,
trigger-owid-urban-infrastructure,urban infrastructure,1995,Technology,
trigger-owid-urban-recreational-planning,urban recreational planning,2004,Sport,
trigger-owid-volkswagen-diesel-emissions-scandal,Volkswagen Diesel emissions scandal,2014,Environmental,
trigger-owid-volkswagen-emissions-scandal,Volkswagen emissions scandal,2014,Environmental,
trigger-owid-war-on-terror,War on Terror,2004,Political,
trigger-owid-wearable-tech-revolution,wearable tech revolution,2014,Technology,
trigger-owid-weather-phenomena,Weather phenomena,1995,Environmental,
trigger-owid-wellness-culture,Wellness Culture,1995,Cultural,
trigger-owid-wellness-industry-growth,wellness industry growth,2004,Health,
trigger-owid-wellness-tourism,wellness tourism,2004,Cultural,
trigger-owid-wireless-communication-technology,wireless communication technology,1995,Technology,
trigger-owid-workplace-flexibility,workplace flexibility,1995,Economic,
trigger-owid-workplace-flexibility-reforms,workplace flexibility reforms,1995,Economic,
trigger-owid-workplace-policy,workplace policy,2014,Economic,
trigger-owid-workplace-psychology,workplace psychology,2004,Health,
trigger-owid-youth-slang,youth slang,2004,Cultural,
trigger-owid-youth-subculture,youth subculture,1995,Social,
trigger-owid-youth-subculture-slang,youth subculture slang,2004,Linguistic,
trigger-paisley-town,"Shawl production at Paisley, Scotland",1834,Commercial,Q211870
trigger-panic-pan,Greek myth of the god Pan and 'panic' fear,1600,Cultural,
trigger-pascal-unit-pressure,Pascal's work on hydrostatics and pressure,1648,Technology,Q1290
trigger-pasteurize-heat,Pasteur develops controlled heat treatment of liquids,1864,Technology,Q529
trigger-pfaffe-reformation,Protestant Reformation in the German lands,1517,Cultural,Q12562
trigger-philippic-demosthenes,Demosthenes' Philippics against Philip II (from 351 BC),0351,Political,Q117253
trigger-philister-studentensprache,"German university student slang, late 17th century",1693,Cultural,
trigger-pretty-bleaching,Bleaching of a degree adverb into a downtoner,1565,Cultural,
trigger-procrustean-procrustes,"Procrustes, the bed-stretcher of Greek myth",1822,Cultural,Q271949
trigger-proletariat-sozialismus,1840s socialist movement and the Communist Manifesto (1848),1840,Political,
trigger-propaganda-congregatio,Founding of the Congregatio de Propaganda Fide,1622,Cultural,Q386359
trigger-protean-proteus,"Proteus, the shape-shifting sea-god",1590,Cultural,Q191481
trigger-quarantaene-venice,Venetian and Ragusan plague isolation regime,1377,Pandemic,
trigger-queer-nation,Queer Nation and ACT UP activist reappropriation,1990,Political,Q5687582
trigger-querdenken-711,Querdenken 711 protest movement,2020,Political,Q115500066
trigger-quisling-invasion,German invasion of Norway and Quisling's coup attempt,1940,Political,Q151364
trigger-quixotic-cervantes,Publication of Cervantes' Don Quixote,1605,Cultural,Q480
trigger-robot-rur,Coining of 'robot' in Karel Capek's play R.U.R.,1920,Cultural,Q1164094
trigger-roentgen-discovery,Roentgen's discovery of X-rays at Wuerzburg,1895,Technology,Q35149
trigger-rugby-school,Handling code at Rugby School,1823,Cultural,Q1143281
trigger-sabotage-cgt,French syndicalist promotion of 'sabotage' as industrial action,1910,Political,
trigger-sadism-sade,The novels of the Marquis de Sade,1791,Cultural,Q123867
trigger-salvage-marinelaw,Marine insurance and salvage law,1680,Commercial,
trigger-sandwich-earl,"John Montagu, 4th Earl of Sandwich, popularises bread-and-filling meals",1762,Cultural,
trigger-sardonic-sardinia,Belief in a Sardinian plant causing a fatal grin,1630,Cultural,Q1462
trigger-saturnine-saturn,Astrological temperament of those born under Saturn,1450,Cultural,
trigger-saxophone-patent,Sax patents the saxophone,1846,Technology,Q181995
trigger-schuetzengraben-wwi,First World War trench warfare on the Western Front 1914-1918,1914,Political,Q361
trigger-schwurbler-covid,COVID-19 pandemic and Querdenken protests in Germany,2020,Pandemic,Q81068910
trigger-sherry-jerez,Wine of Xeres (Jerez de la Frontera),1600,Commercial,Q12303
trigger-shrapnel-shell,Shrapnel develops the bursting case shot,1784,Technology,Q941215
trigger-sick-slang,Youth-culture slang reversal of a negative term,1980,Cultural,
trigger-silhouette-minister,Tenure of Etienne de Silhouette as controller-general of finances,1759,Cultural,Q290240
trigger-siren-sirens,The Sirens of Greek myth,1580,Cultural,Q150986
trigger-slop-genai,Proliferation of generative AI content,2022,Technology,Q115564437
trigger-sophisticated-revaluation,Revaluation of worldliness from corruption to refinement,1895,Cultural,
trigger-south-sea-bubble,the South Sea Bubble financial crisis (1720),1720,Commercial,Q18643921
trigger-spa-town,Fame of Spa's mineral springs,1620,Commercial,Q39865
trigger-spartan-sparta,Reputation of Spartan austerity,1640,Cultural,
trigger-spiesser-buergerkritik,Student slang and 19th c. critique of the bourgeoisie,1840,Cultural,
trigger-stan-eminem,Eminem's song 'Stan' (2000),2000,Media,Q312122
trigger-stentorian-stentor,"Stentor, the loud-voiced herald of Homer's Iliad",1600,Cultural,
trigger-stonewall,Stonewall Riots and gay liberation movement,1969,Political,Q51402
trigger-streaming-services,rise of broadband streaming media services,2005,Technology,Q866
trigger-streik-arbeiterbewegung,"German labour movement and trade unions, 1860s-1870s",1865,Political,
trigger-suede-sweden,Gloves of Sweden (gants de Suede),1884,Commercial,Q34
trigger-sus-amongus,Among Us popularity surge (2020),2020,Cultural,Q96417649
trigger-tank-somme,British 'tank' codename and combat debut on the Somme,1916,Technology,Q1284532
trigger-tantalize-tantalus,Greek myth of Tantalus,1590,Cultural,
trigger-tempo-de-brand,Tempo paper handkerchief brand registered,1929,Commercial,
trigger-terrific-hyperbole,Hyperbolic bleaching of a fear word into praise,1888,Cultural,
trigger-tesla-electromagnetism,Tesla's work on electromagnetism and alternating current,1888,Technology,Q9036
trigger-thermos-brand,Thermos brand vacuum flask launched,1904,Commercial,
trigger-tierc-chernobyl-nuclear-disaster-april-1986,Chernobyl nuclear disaster April 1986,1986,Environmental,
trigger-tierc-computer-virus-concept-introduction-and-adoption,Computer virus concept introduction and adoption,1972,Social,
trigger-tierc-emergence-of-consumer-quadcopter-drones,Emergence of consumer quadcopter drones,2012,Social,
trigger-tierc-established-as-mainstream-german-internet-discourse-term,Established as mainstream German internet discourse term,2011,Technological,
trigger-tierc-fall-of-berlin-wall-and-cold-war-cyberattacks,Fall of Berlin Wall and Cold War cyberattacks,1989,Political,
trigger-tierc-german-green-party-founding-and-grassroots-activism,German Green Party founding and grassroots activism,1980,Social,
trigger-tierc-german-immigration-and-integration-debate,German immigration and integration debate,2000,Political,
trigger-tierc-greta-thunberg-climate-activism-and-fridaysforfuture,Greta Thunberg climate activism and FridaysForFuture,2018,Environmental,
trigger-tierc-social-media-and-digital-platform-emergence,Social media and digital platform emergence,2004,Technological,
trigger-toll-youth,Post-war West German youth culture and rock music,1960,Cultural,
trigger-troll-usenet,Usenet 'trolling for newbies' coinage (early 1990s),1992,Technology,
trigger-trommelfeuer-wwi,"First World War material battles, Verdun and the Somme 1916",1916,Political,Q361
trigger-turkey-trade,Confusion of guinea fowl with the American bird,1555,Commercial,
trigger-tuxedo-park,Dinner jacket worn at Tuxedo Park,1886,Cultural,Q3273900
trigger-twitter-launch,Launch of Twitter social media platform (2006),2006,Technology,Q918
trigger-uhu-de-brand,Fischer markets Uhu adhesive,1932,Commercial,Q63281550
trigger-unfriend-facebook,Facebook 'friend' / 'unfriend' interface (mid-2000s),2008,Technology,Q355
trigger-usenet-spam,Usenet bulk posting incidents (early 1990s),1993,Technology,
trigger-vandalismus-gregoire,Henri Gregoire coins 'vandalisme' during the French Revolution,1794,Political,Q561218
trigger-viral-web,rise of the World Wide Web and email forwarding culture,1999,Technology,
trigger-volt-pile,Volta invents the voltaic pile,1800,Technology,Q680
trigger-wahnsinn-ausruf,Umgangssprachliche Aufwertung eines Negativworts zum Ausruf,1960,Cultural,
trigger-watt-engine,Watt's improved steam engine,1776,Technology,Q9041
trigger-wd-covid-19-pandemic,COVID-19 pandemic,2020,Pandemic,Q81068910
trigger-wd-german-reunification,German reunification,1990,Political,Q56039
trigger-wd-querdenken-711-protest-movement,Querdenken 711 protest movement,2020,Political,Q115500066
trigger-wd-rise-of-funk-music,Rise of funk music,1965,Cultural,Q164444
trigger-wd-world-wide-web-invention,World Wide Web invention,1989,Technology,Q466
trigger-wutbuerger-spiegel,Spiegel essay 'Der Wutbuerger' by Dirk Kurbjuweit,2010,Media,
trigger-www-mosaic,World Wide Web and Mosaic browser launch,1993,Technology,Q381047
trigger-xerox-914,Xerox launches the 914 copier,1959,Commercial,Q3570933
trigger-yahoo-gulliver,Swift's 'Gulliver's Travels' (1726),1726,Cultural,Q181488
trigger-zeppelin-lz1,First flight of the airship LZ 1 over Lake Constance,1900,Technology,Q75780
trigger-zipper-goodrich,B.F. Goodrich markets the Zipper boot,1923,Commercial,Q1537591
